,Dataset,overlapping.F1.mean,overlapping.F1.sd,overlapping.F1v.mean,overlapping.F1v.sd,overlapping.F2.mean,overlapping.F2.sd,overlapping.F3.mean,overlapping.F3.sd,overlapping.F4.mean,overlapping.F4.sd,neighborhood.N1,neighborhood.N2.mean,neighborhood.N2.sd,neighborhood.N3.mean,neighborhood.N3.sd,neighborhood.N4.mean,neighborhood.N4.sd,neighborhood.T1.mean,neighborhood.T1.sd,neighborhood.LSC,linearity.L1.mean,linearity.L1.sd,linearity.L2.mean,linearity.L2.sd,linearity.L3.mean,linearity.L3.sd,dimensionality.T2,dimensionality.T3,dimensionality.T4,balance.C1,balance.C2,network.Density,network.ClsCoef,network.Hubs.mean,network.Hubs.sd
10,newthyroid2,0.7326435186399509,0.24310093750287126,0.07084011989082402,,1.1174184716701013e-05,,0.19069767441860463,,0.018604651162790697,,0.05116279069767442,0.19446521102195302,0.08745703196859031,0.013953488372093023,0.1175716034538484,0.0,0.0,0.1,0.2522252387439281,0.5447917793401839,0.0018338699136124514,,0.009302325581395321,,0.0046511627906976605,,0.023255813953488372,0.013953488372093023,0.6,0.6409441847875287,0.625278810408922,0.8087372310367311,0.42341068329369413,0.8756791411699002,0.20698615548549576
11,pima,0.941686619121275,0.07013607469522974,0.3435590782814175,,0.2515956493264203,,0.9934895833333334,,0.9778645833333334,,0.4361979166666667,0.4541916059369013,0.09824326888359237,0.3020833333333333,0.4594604094843525,0.1484375,0.3557648260765425,0.0018939393939393938,0.0032950689883605054,0.9893815782335069,0.14738359149416558,,0.2265625,,0.19921875,,0.010416666666666666,0.0026041666666666665,0.25,0.9331343166407832,0.16724669384508295,0.8690311277705345,0.4762263891766024,0.6799208718871428,0.2768371128485979
12,segment0,0.9623931061215842,0.05174667198590661,0.07587858589833736,,8.540589644519505e-14,,0.26559792027729634,,0.0,,0.006932409012131715,0.11036116635194951,0.10024370481753993,0.0017331022530329288,0.04160346793226826,0.012998266897746967,0.11329109846862179,0.01282051282051282,0.045873214183309016,0.8688768851617011,0.00159855827588673,,0.0017331022530329143,,0.0008665511265164572,,0.008232235701906412,0.0017331022530329288,0.21052631578947367,0.5908722132313053,0.6764509593552981,0.8532888000426702,0.24759834796284563,0.8503379442138098,0.1839447816986906
13,vehicle0,0.9158691189710682,0.08659783783387175,0.08189017978754272,,0.00010256459730389168,,0.5425531914893618,,0.2553191489361702,,0.08274231678486997,0.3025785732546161,0.11653635861338751,0.0425531914893617,0.2019669113047771,0.03900709219858156,0.19372635479293254,0.0036101083032490976,0.019029167036591757,0.894298855970804,0.010607000903175123,,0.027186761229314405,,0.008274231678486954,,0.02127659574468085,0.001182033096926714,0.05555555555555555,0.7870083329339703,0.43801750289168717,0.8604249723725992,0.33089801064506863,0.8083049202152099,0.27544982354313974
14,vehicle1,0.972345367132757,0.020452439198405482,0.2631218674081034,,0.00030920740791264733,,0.9397163120567376,,0.7316784869976359,,0.3877068557919622,0.4248427415462299,0.11023707444738691,0.2718676122931442,0.4451852206414828,0.19267139479905437,0.3946304730175162,0.0018975332068311196,0.0034031044913674425,0.9870409492033153,0.09425644954460188,,0.17730496453900713,,0.1371158392434988,,0.02127659574468085,0.001182033096926714,0.05555555555555555,0.8214205770354049,0.3834029769837147,0.8770154014016535,0.3894214744665361,0.7918162584238455,0.19914009512163705
15,vehicle2,0.973854341089296,0.038743841341941566,0.07655563890797741,,0.002726066312484624,,0.7718676122931443,,0.31796690307328607,,0.07446808510638298,0.3363178368060316,0.08329669086973396,0.026004728132387706,0.1592433885043647,0.05673758865248227,0.23147736414614786,0.003236245954692557,0.009014123298184198,0.9605430086794203,0.01772249965373085,,0.029550827423167836,,0.014184397163120588,,0.02127659574468085,0.001182033096926714,0.05555555555555555,0.8232301496857752,0.3803959195126587,0.8720382726929372,0.33170614590745484,0.7571933308395496,0.2715313285802659
16,vehicle3,0.9732399185140577,0.021237566023689012,0.3111386642003536,,0.0005339366288031952,,0.9633569739952719,,0.7742316784869976,,0.375886524822695,0.41937058259245413,0.11695257025608584,0.2695035460992908,0.44396437765485597,0.1524822695035461,0.3597003803036395,0.00196078431372549,0.0051351885879152405,0.9838064260125524,0.10502987080801063,,0.17612293144208035,,0.140661938534279,,0.02127659574468085,0.001182033096926714,0.05555555555555555,0.8122135204062588,0.3984873573506378,0.8766824737364836,0.3928894613743429,0.785006449199046,0.19946655840630712
17,wisconsin,0.46844871922956294,0.15517930761422552,0.0406869170089725,,0.2168594444162193,,0.8784773060029283,,0.7569546120058566,,0.06149341142020498,0.1687729739385758,0.17634242984112386,0.029282576866764276,0.16872103189035942,0.016105417276720352,0.12597328075143038,0.012658227848101266,0.06978687478739702,0.6517109728203666,0.022169088812333038,,0.027818448023426035,,0.008784773060029227,,0.013177159590043924,0.010248901903367497,0.7777777777777778,0.9340026588217948,0.16528551819615578,0.8153050840908017,0.4474337152559761,0.7809207545211251,0.3206906548457803
18,yeast1,0.9639390002530799,0.03688357897999807,0.44166176942553936,,0.0,,0.9642857142857143,,0.9144204851752021,,0.42587601078167114,0.41475002785038245,0.1468113794595688,0.28369272237196763,0.4509414471153671,0.16037735849056603,0.3670793666436996,0.0010869565217391304,0.002538932080054999,0.9936674028814089,0.15662645398799724,,0.24865229110512133,,0.25202156334231807,,0.005390835579514825,0.0047169811320754715,0.875,0.8675344733326951,0.30212494969415593,0.8655789877370305,0.4855656072069535,0.8668151085527784,0.1453586026856426
19,yeast3,0.955531406887008,0.10497288750552487,0.13458543131393572,,0.0,,0.4588948787061995,,0.3450134770889488,,0.09973045822102426,0.30914764147038637,0.12414464183231817,0.06199460916442048,0.24122704972521714,0.020889487870619946,0.14306260477392568,0.003389830508474576,0.013531570516152131,0.9578931786313671,0.04379900620081667,,0.05188679245283023,,0.0417789757412399,,0.005390835579514825,0.0047169811320754715,0.875,0.49942795375239024,0.7569182833693646,0.8158228112680459,0.4966700814410392,0.7364794215069032,0.12925415708129878
