,overlapping.F1.mean,overlapping.F1.sd,overlapping.F1v.mean,overlapping.F1v.sd,overlapping.F2.mean,overlapping.F2.sd,overlapping.F3.mean,overlapping.F3.sd,overlapping.F4.mean,overlapping.F4.sd,neighborhood.N1,neighborhood.N2.mean,neighborhood.N2.sd,neighborhood.N3.mean,neighborhood.N3.sd,neighborhood.N4.mean,neighborhood.N4.sd,neighborhood.T1.mean,neighborhood.T1.sd,neighborhood.LSC,linearity.L1.mean,linearity.L1.sd,linearity.L2.mean,linearity.L2.sd,linearity.L3.mean,linearity.L3.sd,dimensionality.T2,dimensionality.T3,dimensionality.T4,balance.C1,balance.C2,network.Density,network.ClsCoef,network.Hubs.mean,network.Hubs.sd
winequality-red-4,0.9943521767619812,0.008391729816036819,0.43287113024150964,,0.01482731472747521,,0.949343339587242,,0.717948717948718,,0.08380237648530331,0.23796121025981423,0.18442947436004042,0.05378361475922452,0.22566077237066556,0.02564102564102564,0.15811134594042447,0.0035087719298245615,0.011154031141957621,0.9645823042153066,0.032083884623412606,,0.03314571607254535,,0.036898061288305195,,0.0068792995622263915,0.0012507817385866166,0.18181818181818182,0.20993006978448242,0.9315164495335206,0.808906693091192,0.48289138385940256,0.6256971294367966,0.14248645345072
ecoli-0-6-7_vs_5,0.9161401837959552,0.09373815078934745,0.11337948634513283,,0.24680851794153952,,0.8818181818181818,,0.14545454545454545,,0.07727272727272727,0.2410013078364529,0.13510449980133102,0.04090909090909091,0.19853134486560794,0.004545454545454545,0.06741998624632421,0.034482758620689655,0.12365878593337912,0.6638636363636363,0.03158922173028478,,0.022727272727272707,,0.027272727272727226,,0.02727272727272727,0.022727272727272728,0.8333333333333334,0.43949698692151334,0.801980198019802,0.8108758821087588,0.47012643424748135,0.6960143824904611,0.17933680157280435
ecoli-0-1_vs_5,0.9010770221827423,0.08234535640703694,0.07874019279083172,,0.14501236917713475,,0.6833333333333333,,0.1,,0.05416666666666667,0.2109312763294462,0.11509807092663767,0.029166666666666667,0.16862517336816857,0.008333333333333333,0.0910959155497467,0.0625,0.16236818015216503,0.6407986111111111,0.02203565338788227,,0.02083333333333337,,0.02083333333333337,,0.025,0.020833333333333332,0.8333333333333334,0.4138168503036338,0.819672131147541,0.8065899581589958,0.46163287086446103,0.6417581957229033,0.16613336611858895
ecoli-0-1-4-7_vs_2-3-5-6,0.9281689152096486,0.06326733269411025,0.10059579449247073,,0.0,,0.8928571428571429,,0.6845238095238095,,0.07738095238095238,0.26356866455434025,0.13095979261458296,0.047619047619047616,0.21327646718989113,0.008928571428571428,0.09420863296174219,0.02040816326530612,0.07248770404892269,0.8147587159863946,0.04119602345196849,,0.029761904761904767,,0.029761904761904767,,0.020833333333333332,0.01488095238095238,0.7142857142857143,0.424030022816425,0.8127458197497108,0.8174484719260838,0.434458819816977,0.5825598940551665,0.17044406356944597
ecoli-0-1_vs_2-3-5,0.9116471518193507,0.06469693554620214,0.08720883322591165,,0.0,,0.860655737704918,,0.610655737704918,,0.0778688524590164,0.24648120526290754,0.13720427525100024,0.04918032786885246,0.21668885038926122,0.012295081967213115,0.11042593842457481,0.038461538461538464,0.12203526285067672,0.709016393442623,0.029786895829286286,,0.03688524590163933,,0.024590163934426257,,0.028688524590163935,0.020491803278688523,0.7142857142857143,0.46377734988775166,0.7843841881737994,0.813398097551103,0.46208211680798117,0.6468765459583953,0.16130755125453033
yeast-0-2-5-6_vs_3-7-8-9,0.950955896830612,0.05427169837707845,0.19706183580594752,,0.04947712596881344,,0.9252988047808764,,0.8456175298804781,,0.1254980079681275,0.33947093394439204,0.130200720624106,0.06872509960159362,0.25311217042063566,0.06673306772908366,0.2496835174485791,0.00425531914893617,0.01028445279768374,0.9772434167711623,0.06325524559104811,,0.07071713147410363,,0.08565737051792832,,0.00796812749003984,0.0069721115537848604,0.875,0.4645597301746314,0.7838026316741995,0.8187826957374887,0.5066140348499026,0.7799142700722308,0.10973112590739352
ecoli-0-1-4-6_vs_5,0.9276991519773256,0.06732609123726774,0.10079641750995319,,0.14717673289619648,,0.6178571428571429,,0.039285714285714285,,0.04285714285714286,0.20664728800994134,0.11035016414800718,0.02142857142857143,0.14506738727570184,0.010714285714285714,0.10313816363873812,0.06666666666666667,0.16387296568503942,0.6948469387755102,0.024340023946048395,,0.025000000000000022,,0.021428571428571463,,0.02142857142857143,0.017857142857142856,0.8333333333333334,0.37123232664087563,0.8470588235294118,0.8061699948796723,0.44109920251490553,0.6009001309582933,0.18928865468552797
ecoli-0-6-7_vs_3-5,0.9277910315609312,0.06339668498803233,0.12306369826957933,,0.0,,0.8918918918918919,,0.6621621621621622,,0.08558558558558559,0.24375726275548532,0.13730462639761903,0.04054054054054054,0.19766893954601203,0.018018018018018018,0.1333170264374938,0.0303030303030303,0.11510349223411773,0.6715769823877932,0.03820214786651743,,0.03153153153153154,,0.018018018018018056,,0.03153153153153153,0.02252252252252252,0.7142857142857143,0.46613328272413534,0.7826301748839047,0.8142758142758143,0.4703994242533286,0.6737396770372364,0.18483777745743404
yeast-0-2-5-7-9_vs_3-6-8,0.9248111324565161,0.10848687769067855,0.11162701138393004,,0.0,,0.9233067729083665,,0.795816733067729,,0.07470119521912351,0.299408122448848,0.12176023019024347,0.04282868525896414,0.20257161882062777,0.0348605577689243,0.18351796627646272,0.006944444444444444,0.024661446299890914,0.9486168870335392,0.04428516189562137,,0.027888446215139417,,0.0239043824701195,,0.00796812749003984,0.0069721115537848604,0.875,0.4645597301746314,0.7838026316741995,0.8131740237454965,0.5035841112209534,0.7656688530758735,0.11108773237536024
ecoli-0-3-4-7_vs_5-6,0.9232573232738773,0.06577697394108552,0.09895127601183171,,0.0,,0.8093385214007782,,0.20622568093385213,,0.07392996108949416,0.24017961467507576,0.13062008352330437,0.038910505836575876,0.1937590213790283,0.011673151750972763,0.10761949290401943,0.03125,0.10416189757447959,0.7370891307968326,0.03579201067482296,,0.023346303501945553,,0.01945525291828798,,0.027237354085603113,0.019455252918287938,0.7142857142857143,0.4603016090617192,0.7869566015904792,0.8150839007782101,0.4662636456746022,0.7420789960319195,0.16289514554701004
